Date,3m,6m,1y,2y,3y,4y,5y,7y,10y
1,7.21,7.4,7.66,8.06,8.21,8.25,8.44,8.54,8.26
2,7.25,7.43,7.67,8.08,8.22,8.26,8.46,8.55,8.26
3,7.18,7.4,7.68,8.04,8.19,8.25,8.42,8.52,8.23
4,7.19,7.43,7.72,8.05,8.2,8.26,8.43,8.53,8.25
5,7.19,7.46,7.72,8.05,8.2,8.26,8.43,8.53,8.25
6,7.11,7.41,7.75,8.04,8.2,8.25,8.41,8.52,8.26
7,7.19,7.47,7.79,8,8.13,8.18,8.34,8.44,8.17
8,7.2,7.49,7.81,8.04,8.17,8.21,8.35,8.44,8.19
9,7.21,7.52,7.85,8.05,8.17,8.23,8.37,8.48,8.23
10,7.2,7.51,7.84,8.03,8.18,8.23,8.38,8.46,8.23
11,7.22,7.54,7.89,8.07,8.2,8.25,8.39,8.47,8.28
12,7.22,7.53,7.86,8.04,8.19,8.25,8.38,8.46,8.26
13,7.22,7.52,7.84,8.02,8.16,8.21,8.34,8.43,8.22
14,7.22,7.52,7.84,8.01,8.14,8.21,8.33,8.44,8.24
15,7.23,7.54,7.88,8.07,8.2,8.3,8.38,8.5,8.31
16,7.21,7.52,7.85,8.06,8.2,8.3,8.37,8.5,8.31
17,7.26,7.57,7.9,8.12,8.26,8.37,8.44,8.55,8.35
18,7.22,7.54,7.89,8.12,8.23,8.33,8.42,8.52,8.31
19,7.24,7.56,7.93,8.14,8.2,8.3,8.41,8.51,8.31
20,7.25,7.58,7.94,8.14,8.26,8.35,8.45,8.55,8.37
21,7.24,7.57,7.92,8.13,8.26,8.35,8.45,8.53,8.36
22,7.26,7.59,7.94,8.14,8.27,8.37,8.46,8.54,8.39
23,7.25,7.59,7.96,8.15,8.27,8.37,8.47,8.55,8.39
24,7.43,7.66,7.93,8.19,8.28,8.38,8.48,8.56,8.41
25,7.25,7.51,7.99,8.21,8.31,8.41,8.49,8.57,8.43
26,7.25,7.59,7.99,8.24,8.31,8.43,8.52,8.58,8.45
27,7.2,7.54,7.97,8.29,8.4,8.49,8.55,8.64,8.43
28,7.23,7.6,8.06,8.37,8.47,8.55,8.61,8.67,8.5
29,7.2,7.58,8.06,8.39,8.49,8.54,8.62,8.68,8.49
30,7.49,7.76,8.09,8.42,8.49,8.56,8.63,8.67,8.49
31,7.24,7.63,8.11,8.43,8.49,8.54,8.61,8.67,8.48
32,7.52,7.78,8.11,8.49,8.64,8.68,8.68,8.76,8.59
33,7.31,7.68,8.15,8.57,8.67,8.71,8.73,8.79,8.61
34,7.32,7.7,8.18,8.57,8.64,8.68,8.69,8.77,8.57
35,7.32,7.7,8.18,8.57,8.63,8.66,8.68,8.73,8.57
36,7.42,7.74,8.18,8.54,8.57,8.61,8.63,8.71,8.54
37,7.62,7.86,8.2,8.58,8.57,8.64,8.66,8.75,8.54
38,7.63,7.83,8.14,8.51,8.53,8.58,8.59,8.69,8.52
39,7.62,7.81,8.09,8.49,8.51,8.58,8.61,8.7,8.53
40,7.66,7.86,8.16,8.55,8.58,8.63,8.66,8.72,8.58
41,7.66,7.86,8.16,8.54,8.55,8.62,8.67,8.72,8.58
42,7.73,7.93,8.18,8.48,8.54,8.57,8.64,8.67,8.52
43,7.67,7.91,8.19,8.44,8.49,8.51,8.61,8.63,8.5
44,7.6,7.87,8.17,8.42,8.47,8.5,8.6,8.62,8.5
