Date,3m,6m,1y,2y,3y,4y,5y,7y,10y
1,7.71,7.9,8.16,8.56,8.71,8.75,8.94,9.04,8.76
2,7.75,7.93,8.17,8.58,8.72,8.76,8.96,9.05,8.76
3,7.68,7.9,8.18,8.54,8.69,8.75,8.92,9.02,8.73
4,7.69,7.93,8.22,8.55,8.7,8.76,8.93,9.03,8.75
5,7.69,7.96,8.22,8.55,8.7,8.76,8.93,9.03,8.75
6,7.61,7.91,8.25,8.54,8.7,8.75,8.91,9.02,8.76
7,7.69,7.97,8.29,8.5,8.63,8.68,8.84,8.94,8.67
8,7.7,7.99,8.31,8.54,8.67,8.71,8.85,8.94,8.69
9,7.71,8.02,8.35,8.55,8.67,8.73,8.87,8.98,8.73
10,7.7,8.01,8.34,8.53,8.68,8.73,8.88,8.96,8.73
11,7.72,8.04,8.39,8.57,8.7,8.75,8.89,8.97,8.78
12,7.72,8.03,8.36,8.54,8.69,8.75,8.88,8.96,8.76
13,7.72,8.02,8.34,8.52,8.66,8.71,8.84,8.93,8.72
14,7.72,8.02,8.34,8.51,8.64,8.71,8.83,8.94,8.74
15,7.73,8.04,8.38,8.57,8.7,8.8,8.88,9,8.81
16,7.71,8.02,8.35,8.56,8.7,8.8,8.87,9,8.81
17,7.76,8.07,8.4,8.62,8.76,8.87,8.94,9.05,8.85
18,7.72,8.04,8.39,8.62,8.73,8.83,8.92,9.02,8.81
19,7.74,8.06,8.43,8.64,8.7,8.8,8.91,9.01,8.81
20,7.75,8.08,8.44,8.64,8.76,8.85,8.95,9.05,8.87
21,7.74,8.07,8.42,8.63,8.76,8.85,8.95,9.03,8.86
22,7.76,8.09,8.44,8.64,8.77,8.87,8.96,9.04,8.89
23,7.75,8.09,8.46,8.65,8.77,8.87,8.97,9.05,8.89
24,7.93,8.16,8.43,8.69,8.78,8.88,8.98,9.06,8.91
25,7.75,8.01,8.49,8.71,8.81,8.91,8.99,9.07,8.93
26,7.75,8.09,8.49,8.74,8.81,8.93,9.02,9.08,8.95
