Date,Open,High,Low,Close,WAP
04-01-10,1094,1094,1022,1075.35,1038.099426
05-01-10,1086,1092.7,1065.5,1069.55,1077.580005
06-01-10,1075.05,1094.2,1070,1088.8,1084.643715
07-01-10,1085,1115,1085,1105.2,1103.396301
08-01-10,1110,1115,1097.25,1101.95,1104.667908
11-01-10,1152.5,1184.7,1066,1081.55,1089.20823
12-01-10,1079.7,1109,1066,1083.7,1092.569154
13-01-10,1085.05,1091.95,1070,1088.35,1085.277169
14-01-10,1090,1124.45,1088,1120.85,1109.102061
15-01-10,1125.05,1135,1105,1109.2,1119.819695
18-01-10,1100,1115.7,1075.35,1099.55,1105.20596
19-01-10,1100,1109,1081.15,1085.2,1094.829544
20-01-10,1084.95,1096.7,1071.3,1077.75,1082.88757
21-01-10,1072,1078,1051,1053.8,1062.137498
22-01-10,1039.95,1070,1029.7,1053.15,1052.131801
25-01-10,1044.95,1059.9,1037,1041.7,1045.524965
27-01-10,1028.1,1049.85,1021,1025.85,1032.829111
28-01-10,1035,1046,1025.1,1037.4,1036.932282
29-01-10,1024.95,1051,1018,1046.55,1035.147882
01-02-10,1037.95,1055,1035.05,1046.6,1047.599597
02-02-10,1055,1059,1024.1,1026.6,1036.853455
03-02-10,1030.35,1047.8,1030,1033.75,1038.356445
04-02-10,1027.95,1045,1015.1,1019.4,1027.375952
05-02-10,1005,1008.65,977.1,981.3,991.418949
06-02-10,979.95,997.85,979.95,993.7,992.3677241
08-02-10,994.7,1004.6,976,996.35,988.1877904
09-02-10,994.95,998.9,984.15,993.75,992.8453125
10-02-10,1000,1001,982,984.65,989.7046695
11-02-10,990,1018,989.35,1013.95,1006.759486
15-02-10,1015.05,1027.8,1005.2,1007.45,1015.618
16-02-10,1004.95,1024,1004.95,1017.4,1011.870302
17-02-10,1023,1035.9,1022,1032,1028.539302
18-02-10,1036,1036,995,997.4,1004.707374
19-02-10,991,993,978.15,984.25,984.8349139
22-02-10,995.15,1000,972.2,978.9,987.306817
23-02-10,974.95,983.45,971,974.9,976.3697774
24-02-10,962,986,962,977.2,979.841804
25-02-10,980.05,982,961,964.35,970.5427771
26-02-10,964,995,964,978,984.1492282
02-03-10,986.6,999,980,983.6,986.5366183
03-03-10,979.95,1024.55,979.95,1021.95,1013.127786
04-03-10,1022.25,1033.5,1008,1013.75,1018.595273
05-03-10,1020,1027.9,1005.75,1009.95,1013.058884
08-03-10,1018,1024,1003.2,1005.2,1013.589286
09-03-10,1010,1015,988.05,990.2,996.0722788
10-03-10,994,1018.4,988.2,1008.05,1009.664046
11-03-10,1005,1019.9,1005,1016.55,1013.591734
12-03-10,1020,1032.6,1015,1021.25,1024.753976
15-03-10,1022,1031,1014.1,1027.75,1024.133293
16-03-10,1030,1070,1028,1066.8,1052.355626
17-03-10,1075,1082.9,1064.15,1066.55,1072.776463
18-03-10,1073,1078.5,1062.3,1075.05,1071.739137
19-03-10,1076,1095,1070.1,1089.8,1082.808049
22-03-10,1074,1100,1068.1,1073.9,1086.000813
23-03-10,1080.05,1092,1076,1089.25,1085.862395
25-03-10,1088,1095.25,1079.25,1091.7,1087.145047
26-03-10,1098,1109.4,1095,1099,1103.279272
29-03-10,1080.5,1108.95,1051.55,1093.85,1102.468745
30-03-10,1098,1104.9,1082.8,1087.85,1096.876132
31-03-10,1088,1094,1072.5,1074.65,1078.950139
01-04-10,1080.05,1098.9,1078,1093.65,1090.304319
05-04-10,1100,1127,1099,1125.15,1114.461453
06-04-10,1140,1140,1118.25,1121.15,1124.15159
07-04-10,1128,1171,1123.05,1129,1134.025814
08-04-10,1105.25,1139,1101.1,1104.25,1116.831391
09-04-10,1108,1139.4,1107,1123.95,1122.469696
12-04-10,1128,1138.8,1122,1125.65,1129.264879
13-04-10,1137,1137,1095,1120.75,1120.967195
15-04-10,1130,1132.5,1087.35,1090.25,1111.895321
16-04-10,1067.05,1093.8,1067.05,1083.3,1083.67257
19-04-10,1074.65,1074.65,1052.2,1061.95,1063.272175
20-04-10,1072,1079.3,1055,1063.9,1066.983092
21-04-10,1073.95,1073.95,1050.2,1054.2,1059.02303
22-04-10,1059.7,1093.9,1050,1075.55,1074.572351
23-04-10,1088,1095,1081.25,1087.35,1088.967622
26-04-10,1091.3,1091.9,1064,1069.8,1073.313662
27-04-10,1049.6,1069.7,1020,1061.1,1060.704533
28-04-10,1045,1050,1012.05,1017,1029.860434
29-04-10,1030,1038,1019,1034.7,1028.168766
30-04-10,1040,1045,1030,1032.5,1035.84003
03-05-10,1024.7,1032.45,1018.1,1023.55,1024.90718
04-05-10,1008,1039,1008,1020.9,1024.422624
05-05-10,1000.35,1023,1000,1020.75,1015.070391
06-05-10,1019.95,1024.7,1006.25,1010.9,1014.610823
07-05-10,998.95,1060,991.1,1033.85,1030.443176
10-05-10,1050.05,1083,1045,1080.2,1067.357964
11-05-10,1080,1089,1063.15,1067.2,1075.09421
12-05-10,1070,1088.2,1063.1,1082,1077.291117
13-05-10,1089,1093.6,1070.3,1071.8,1080.12596
14-05-10,1065,1069.8,1036.15,1043.55,1055.291695
17-05-10,1034.95,1038.8,1010,1016.75,1016.237224
18-05-10,1023,1033.45,1009,1020.7,1021.763868
19-05-10,1008.9,1014.5,995.05,998.3,1004.479546
20-05-10,1004,1013.75,993.4,999.9,1003.269197
21-05-10,985,1000,976.35,995.75,989.1903004
24-05-10,1000,1049,1000,1021.45,1031.378146
25-05-10,1012,1017.85,985,986.85,997.4118153
26-05-10,999.4,1009.25,991.3,1007.35,1001.999104
27-05-10,1010,1025.7,1002.15,1021.85,1016.292396
28-05-10,1031.15,1037,1015,1033.85,1029.555132
31-05-10,1038.7,1047.95,1030.1,1045.05,1039.939182
01-06-10,1045,1049.7,840.55,1011.55,1003.993613
02-06-10,1012,1028,1003.6,1011.9,1013.16452
03-06-10,1037,1038.4,1021.25,1031.15,1030.618698
04-06-10,1038.65,1038.65,1023,1030.8,1030.282789
07-06-10,1015,1018.7,1000.3,1009.35,1007.937624
08-06-10,1012,1013.4,995,996.45,1003.503446
09-06-10,1006.4,1014.8,1000,1006.85,1007.681941
10-06-10,1012.7,1017,1008.2,1015.45,1013.305423
11-06-10,1024,1049.5,1023,1046.25,1038.800183
14-06-10,1055.9,1069.5,1050.2,1063.4,1061.271272
15-06-10,1067.7,1069.65,1051,1065.45,1062.243735
16-06-10,1070,1078.7,1055.05,1057.35,1061.999605
17-06-10,1060.5,1077.65,1058.8,1071.3,1068.989291
18-06-10,1070.95,1089.9,1052,1055.25,1072.241847
21-06-10,1061.1,1073.8,1061.1,1065.25,1066.783196
22-06-10,1065,1074.8,1030,1063.65,1065.589641
23-06-10,1059,1067.7,1054,1058.6,1060.125999
24-06-10,1055.2,1065,1048,1051.3,1057.036836
25-06-10,1050,1068,1043.2,1063.25,1055.860455
28-06-10,1070,1090.8,1065,1088,1081.605639
29-06-10,1084.9,1087.7,1064.1,1067.3,1073.316982
30-06-10,1059.95,1092.9,1055.2,1086.9,1083.882301
01-07-10,1083.6,1083.6,1068,1076.15,1075.292979
02-07-10,1078.7,1083.7,1065.1,1068.45,1074.29248
05-07-10,1064.95,1073.85,1063.4,1067.8,1067.952965
06-07-10,1064.95,1079.75,1064.95,1072.6,1074.304629
07-07-10,1072.5,1075,1051,1052.95,1059.309572
08-07-10,1064.7,1070,1055,1056.5,1062.374026
09-07-10,1060,1066,1052.4,1055.85,1058.372334
12-07-10,1062,1068,1052.7,1055.75,1059.109674
13-07-10,1054.95,1077.85,1054.95,1074.75,1069.023524
14-07-10,1080.05,1085,1066.1,1069.05,1074.900193
15-07-10,1070.95,1079.9,1065,1072.95,1073.442333
16-07-10,1069.95,1072.2,1060.25,1062.95,1064.606022
19-07-10,1057.5,1065.75,1054,1056.25,1059.478692
20-07-10,1061,1065.85,1050.05,1052.9,1058.765573
21-07-10,1059,1063,1056,1058.25,1058.956924
22-07-10,1057,1060.85,1049.05,1058.9,1054.763845
23-07-10,1070,1070.7,1057,1060.15,1064.201743
26-07-10,1061.05,1068.3,1049.5,1052.05,1057.645388
27-07-10,1057.5,1061,1051.25,1053.5,1056.229489
28-07-10,1065,1068.7,1018.45,1020.95,1035.897278
29-07-10,1023,1028.7,1008.1,1010.45,1015.56858
30-07-10,1004.95,1020.4,1004,1009.6,1013.081762
02-08-10,1020.05,1021,1012,1014.55,1015.613375
03-08-10,1018.9,1029.5,1012.9,1026.2,1024.833054
04-08-10,1029.7,1029.7,1013.15,1015.9,1018.369046
05-08-10,1014.7,1028,1004.25,1006.95,1014.255182
06-08-10,1011.7,1011.7,999,1000.3,1002.631136
09-08-10,1002,1008.7,992.15,993.65,997.4547099
10-08-10,1020,1020,987,988.25,993.1385508
11-08-10,988.5,994.9,980.1,982.55,986.3576562
12-08-10,976.1,979,970,972.25,973.414403
13-08-10,970,993.95,957.1,979.05,983.2101489
16-08-10,1018.7,1018.7,974,976.2,982.2671118
17-08-10,980,989.9,970.1,971.1,975.7778815
18-08-10,978.7,978.7,959,964.75,965.3573888
